15/04/2024 06:30:41 AM : root         : INFO     :  ******** Enrollment (Order - 12) Begin ********
15/04/2024 06:31:26 AM : root         : INFO     : save btn displayed: False
15/04/2024 06:31:26 AM : root         : INFO     : Enrollment details filled and save btn is clicked
15/04/2024 06:31:31 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:31:31 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:31:31 AM : root         : INFO     : Success msg is visible : True
15/04/2024 06:31:35 AM : root         : INFO     : page url: https://scecore7-vm.qa.facefirst.dev/
15/04/2024 06:31:35 AM : root         : INFO     : current url: https://scecore7-vm.qa.facefirst.dev/
15/04/2024 06:31:35 AM : root         : INFO     : url is not open
15/04/2024 06:31:35 AM : root         : INFO     : opening localhost portal login
15/04/2024 06:31:35 AM : root         : INFO     : logging in to core
15/04/2024 06:31:35 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:31:46 AM : root         : INFO     : element not found: //div/input[@id="login-username"]
15/04/2024 06:31:47 AM : root         : INFO     : exception: ()
15/04/2024 06:31:49 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:31:49 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:31:49 AM : root         : INFO     : clicked on Identify and enroll link
15/04/2024 06:31:50 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:31:50 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:31:50 AM : root         : INFO     : clicked on upload image icon
15/04/2024 06:31:57 AM : root         : INFO     : Image upload success
15/04/2024 06:31:58 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:31:58 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:31:58 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:31:58 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:31:58 AM : root         : INFO     : Clicked on Identify and Enroll button
15/04/2024 06:32:03 AM : root         : INFO     : enrollment details : {'Enrollment_basis': 'Documented Probable Cause', 'Enrollment_group': 'vip (Serious Offender - None)', 'region_hierarchy': 'sceedge13', 'Location_store': 'mumbai', 'case_subject': 'pending', 'reported_loss': '0', 'Action': 'pending'}
15/04/2024 06:32:03 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:32:03 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:32:06 AM : root         : INFO     : enrollment group selection
15/04/2024 06:32:08 AM : root         : INFO     : enrollment group selected = vip (Serious Offender - None)
15/04/2024 06:32:10 AM : root         : INFO     : region btn clicked
15/04/2024 06:32:12 AM : root         : INFO     : edge name: sceedge13
15/04/2024 06:32:12 AM : root         : INFO     : region name selected: SCEEDGE13-VM
15/04/2024 06:32:12 AM : root         : INFO     : save btn : 
15/04/2024 06:32:22 AM : root         : INFO     : save btn displayed: False
15/04/2024 06:32:22 AM : root         : INFO     : Enrollment details filled and save btn is clicked
15/04/2024 06:32:28 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:32:28 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:32:28 AM : root         : INFO     : Success msg is visible : True
15/04/2024 06:32:32 AM : root         : INFO     : page url: https://scecore7-vm.qa.facefirst.dev/
15/04/2024 06:32:32 AM : root         : INFO     : current url: https://scecore7-vm.qa.facefirst.dev/
15/04/2024 06:32:32 AM : root         : INFO     : url is not open
15/04/2024 06:32:32 AM : root         : INFO     : opening localhost portal login
15/04/2024 06:32:32 AM : root         : INFO     : logging in to core
15/04/2024 06:32:32 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:32:42 AM : root         : INFO     : element not found: //div/input[@id="login-username"]
15/04/2024 06:32:43 AM : root         : INFO     : exception: ()
15/04/2024 06:32:46 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:32:46 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:32:46 AM : root         : INFO     : clicked on Identify and enroll link
15/04/2024 06:32:47 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:32:47 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:32:47 AM : root         : INFO     : clicked on upload image icon
15/04/2024 06:32:51 AM : root         : INFO     : Image upload success
15/04/2024 06:32:52 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:32:52 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:32:52 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:32:52 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:32:52 AM : root         : INFO     : Clicked on Identify and Enroll button
15/04/2024 06:32:56 AM : root         : INFO     : enrollment details : {'Enrollment_basis': 'Documented Probable Cause', 'Enrollment_group': 'vip (Serious Offender - None)', 'region_hierarchy': 'sceedge13', 'Location_store': 'mumbai', 'case_subject': 'pending', 'reported_loss': '0', 'Action': 'pending'}
15/04/2024 06:32:56 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:32:56 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:33:00 AM : root         : INFO     : enrollment group selection
15/04/2024 06:33:01 AM : root         : INFO     : enrollment group selected = vip (Serious Offender - None)
15/04/2024 06:33:03 AM : root         : INFO     : region btn clicked
15/04/2024 06:33:05 AM : root         : INFO     : edge name: sceedge13
15/04/2024 06:33:05 AM : root         : INFO     : region name selected: SCEEDGE13-VM
15/04/2024 06:33:05 AM : root         : INFO     : save btn : 
15/04/2024 06:33:16 AM : root         : INFO     : save btn displayed: False
15/04/2024 06:33:16 AM : root         : INFO     : Enrollment details filled and save btn is clicked
15/04/2024 06:33:21 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:33:21 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:33:21 AM : root         : INFO     : Success msg is visible : True
15/04/2024 06:33:25 AM : root         : INFO     : page url: https://scecore7-vm.qa.facefirst.dev/
15/04/2024 06:33:25 AM : root         : INFO     : current url: https://scecore7-vm.qa.facefirst.dev/
15/04/2024 06:33:25 AM : root         : INFO     : url is not open
15/04/2024 06:33:25 AM : root         : INFO     : opening localhost portal login
15/04/2024 06:33:25 AM : root         : INFO     : logging in to core
15/04/2024 06:33:25 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:33:35 AM : root         : INFO     : element not found: //div/input[@id="login-username"]
15/04/2024 06:33:36 AM : root         : INFO     : exception: ()
15/04/2024 06:33:38 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:33:39 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:33:39 AM : root         : INFO     : clicked on Identify and enroll link
15/04/2024 06:33:40 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:33:40 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:33:40 AM : root         : INFO     : clicked on upload image icon
15/04/2024 06:33:48 AM : root         : INFO     : Image upload success
15/04/2024 06:33:49 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:33:49 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:33:49 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:33:49 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:33:49 AM : root         : INFO     : Clicked on Identify and Enroll button
15/04/2024 06:33:53 AM : root         : INFO     : enrollment details : {'Enrollment_basis': 'Documented Probable Cause', 'Enrollment_group': 'vip (Serious Offender - None)', 'region_hierarchy': 'sceedge13', 'Location_store': 'mumbai', 'case_subject': 'pending', 'reported_loss': '0', 'Action': 'pending'}
15/04/2024 06:33:53 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:33:53 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:33:56 AM : root         : INFO     : enrollment group selection
15/04/2024 06:33:57 AM : root         : INFO     : enrollment group selected = vip (Serious Offender - None)
15/04/2024 06:33:59 AM : root         : INFO     : region btn clicked
15/04/2024 06:34:00 AM : root         : INFO     : edge name: sceedge13
15/04/2024 06:34:00 AM : root         : INFO     : region name selected: SCEEDGE13-VM
15/04/2024 06:34:00 AM : root         : INFO     : save btn : 
15/04/2024 06:34:11 AM : root         : INFO     : save btn displayed: False
15/04/2024 06:34:11 AM : root         : INFO     : Enrollment details filled and save btn is clicked
15/04/2024 06:34:16 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:34:16 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:34:16 AM : root         : INFO     : Success msg is visible : True
15/04/2024 06:34:20 AM : root         : INFO     : page url: https://scecore7-vm.qa.facefirst.dev/
15/04/2024 06:34:20 AM : root         : INFO     : current url: https://scecore7-vm.qa.facefirst.dev/
15/04/2024 06:34:20 AM : root         : INFO     : url is not open
15/04/2024 06:34:21 AM : root         : INFO     : opening localhost portal login
15/04/2024 06:34:21 AM : root         : INFO     : logging in to core
15/04/2024 06:34:21 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:34:31 AM : root         : INFO     : element not found: //div/input[@id="login-username"]
15/04/2024 06:34:32 AM : root         : INFO     : exception: ()
15/04/2024 06:34:34 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:34:34 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:34:34 AM : root         : INFO     : clicked on Identify and enroll link
15/04/2024 06:34:35 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:34:35 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:34:35 AM : root         : INFO     : clicked on upload image icon
15/04/2024 06:34:40 AM : root         : INFO     : Image upload success
15/04/2024 06:34:41 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:34:41 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:34:41 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:34:41 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:34:41 AM : root         : INFO     : Clicked on Identify and Enroll button
15/04/2024 06:34:45 AM : root         : INFO     : enrollment details : {'Enrollment_basis': 'Documented Probable Cause', 'Enrollment_group': 'vip (Serious Offender - None)', 'region_hierarchy': 'sceedge13', 'Location_store': 'mumbai', 'case_subject': 'pending', 'reported_loss': '0', 'Action': 'pending'}
15/04/2024 06:34:46 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:34:46 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:34:49 AM : root         : INFO     : enrollment group selection
15/04/2024 06:34:50 AM : root         : INFO     : enrollment group selected = vip (Serious Offender - None)
15/04/2024 06:34:52 AM : root         : INFO     : region btn clicked
15/04/2024 06:34:53 AM : root         : INFO     : edge name: sceedge13
15/04/2024 06:34:54 AM : root         : INFO     : region name selected: SCEEDGE13-VM
15/04/2024 06:34:54 AM : root         : INFO     : save btn : Save
15/04/2024 06:35:04 AM : root         : INFO     : save btn displayed: False
15/04/2024 06:35:04 AM : root         : INFO     : Enrollment details filled and save btn is clicked
15/04/2024 06:35:09 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:35:09 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:35:09 AM : root         : INFO     : Success msg is visible : True
